Date,Open,High,Low,Close*,Adj Close**,Volume
"Feb 19, 2021",41.28,43.89,38.5,40.59,40.59,"14,678,700"
"Feb 18, 2021",48.49,48.87,40.65,40.69,40.69,"23,916,900"
"Feb 17, 2021",49.77,51.19,44.56,45.94,45.94,"9,186,800"
"Feb 16, 2021",52.66,53.5,49.04,49.51,49.51,"8,140,700"
"Feb 12, 2021",50.75,55.24,48.05,52.4,52.4,"14,498,000"
"Feb 11, 2021",50.01,55.32,48.22,51.1,51.1,"12,997,400"
"Feb 10, 2021",50.77,62.83,46.55,51.2,51.2,"36,455,000"
"Feb 09, 2021",56.61,57,46.52,50.31,50.31,"26,843,100"
"Feb 08, 2021",72.41,72.66,58.02,60,60,"25,687,300"
"Feb 05, 2021",54.04,95,51.09,63.77,63.77,"80,886,300"
"Feb 04, 2021",91.19,91.5,53.33,53.5,53.5,"62,427,300"
"Feb 03, 2021",112.01,113.4,85.25,92.41,92.41,"42,698,500"
"Feb 02, 2021",140.76,158,74.22,90,90,"78,183,100"
"Feb 01, 2021",316.56,322,212,225,225,"37,382,200"
"Jan 29, 2021",379.71,413.98,250,325,325,"50,259,200"
"Jan 28, 2021",265,483,112.25,193.6,193.6,"58,815,800"
"Jan 27, 2021",354.83,380,249,347.51,347.51,"93,396,700"
"Jan 26, 2021",88.56,150,80.2,147.98,147.98,"178,588,000"
"Jan 25, 2021",96.73,159.18,61.13,76.79,76.79,"177,874,000"
"Jan 22, 2021",42.59,76.76,42.32,65.01,65.01,"197,157,900"
"Jan 21, 2021",39.23,44.75,37,43.03,43.03,"57,079,800"
"Jan 20, 2021",37.37,41.19,36.06,39.12,39.12,"33,471,800"
"Jan 19, 2021",41.55,45.52,36.64,39.36,39.36,"74,721,900"
"Jan 15, 2021",38.49,40.75,34.01,35.5,35.5,"46,866,400"
"Jan 14, 2021",38.09,43.06,33.05,39.91,39.91,"93,717,400"
"Jan 13, 2021",20.42,38.65,20.03,31.4,31.4,"144,501,700"
"Jan 12, 2021",19.96,20.4,19.32,19.95,19.95,"7,060,700"
"Jan 11, 2021",19.41,20.65,19.01,19.94,19.94,"14,927,600"
"Jan 08, 2021",18.18,18.3,17.08,17.69,17.69,"6,482,000"
"Jan 07, 2021",18.47,19.45,18.02,18.08,18.08,"6,129,300"
"Jan 06, 2021",17.34,18.98,17.33,18.36,18.36,"6,056,200"
"Jan 05, 2021",17.35,18.08,17.23,17.37,17.37,"4,961,500"
"Jan 04, 2021",19,19.1,17.15,17.25,17.25,"10,022,500"
"Dec 31, 2020",19.25,19.8,18.8,18.84,18.84,"6,922,700"
"Dec 30, 2020",19.38,20,18.85,19.26,19.26,"5,934,400"
"Dec 29, 2020",20.82,21.07,18.56,19.38,19.38,"9,241,400"
"Dec 28, 2020",21.31,21.97,20.35,20.99,20.99,"8,965,900"
"Dec 24, 2020",21.01,21.48,19.95,20.15,20.15,"6,262,200"
